TransactionID,Vendor,PostingDate,Amount,Variance,Confidence,AI_Reason,Reviewed,Escalate,transaction_id,invoice_id,po_number,vendor_id,invoice_amount,transaction_type
TX-1000013,VENDOR-057,2025-11-26,23957.26,287.7,0.49,Wrong PO Reference,TRUE,TRUE,TX-1000013,INV-00013,PO-00013,VENDOR-057,23957.26,invoice
TX-1000014,VENDOR-038,2025-10-26,1082.35,458.7,0.89,Timing Difference,TRUE,FALSE,TX-1000014,INV-00014,PO-00014,VENDOR-038,1082.35,invoice
TX-1000015,VENDOR-006,2025-10-24,22363.27,214.64,0.75,Timing Difference,FALSE,FALSE,TX-1000015,INV-00015,PO-00015,VENDOR-006,22363.27,invoice
TX-1000016,VENDOR-005,2025-10-09,1422.7,183.81,0.85,Timing Difference,TRUE,FALSE,TX-1000016,INV-00016,PO-00016,VENDOR-005,1422.7,invoice
TX-1000017,VENDOR-047,2025-09-17,10347.94,344.84,0.7,Conversion Error,FALSE,FALSE,TX-1000017,INV-00017,PO-00017,VENDOR-047,10347.94,invoice
TX-1000018,VENDOR-030,2025-11-05,13020.35,258.17,0.53,Batch Interface Failure,TRUE,TRUE,TX-1000018,INV-00018,PO-00018,VENDOR-030,13020.35,invoice
TX-1000019,VENDOR-041,2025-10-23,11212.54,74.88,0.54,Duplicate Transaction,FALSE,TRUE,TX-1000019,INV-00019,PO-00019,VENDOR-041,11212.54,invoice
TX-1000020,VENDOR-001,2025-10-09,21880.08,212.83,0.71,Unit of Measure Mismatch,TRUE,FALSE,TX-1000020,INV-00020,PO-00020,VENDOR-001,21880.08,invoice
TX-1000021,VENDOR-004,2025-09-08,17942.19,430.86,0.64,Missing Receipt,FALSE,FALSE,TX-1000021,INV-00021,PO-00021,VENDOR-004,17942.19,invoice
TX-1000022,VENDOR-035,2025-10-11,18235.99,444.03,0.47,Timing Difference,FALSE,TRUE,TX-1000022,INV-00022,PO-00022,VENDOR-035,18235.99,invoice
TX-1000023,VENDOR-056,2025-09-07,7944.91,586.25,0.74,Unit of Measure Mismatch,FALSE,FALSE,TX-1000023,INV-00023,PO-00023,VENDOR-056,7944.91,invoice
TX-1000024,VENDOR-042,2025-10-15,11877.23,499.39,0.83,Conversion Error,FALSE,FALSE,TX-1000024,INV-00024,PO-00024,VENDOR-042,11877.23,invoice
