variance_id,TransactionID,NSN,Vendor,Plant,Condition_Code,UoM,Feeder_Qty,ERP_Qty,Variance,Absolute_Variance,Variance_Category,PostingDate,Week,Doc_Number,PO_Number,Invoice_ID,Amount,Variance_Amount,Commentary,Next_Steps,Confidence,Escalate,Reviewed,AI_Reason,Evidence_Doc_IDs,record_type,po_number,invoice_id,receipt_id,receipt_po_number,gl_document_id,gl_invoice_id,vendor_id,po_amount,receipt_amount,gl_amount
VAR-000001,TX-1000001,4790-2881-1896,VENDOR-008,PLANT-A,C3,BX,23,23,0,0,Conversion Error,2025-10-25,43,DOC-334053,PO-28289,INV-2719583,23341.05,313.28,Signals indicate a conversion factor issue or rounding/decimal shift during transformation between systems.,Validate conversion factors; correct transform rules; rerun affected batch if applicable.,0.69,FALSE,TRUE,Conversion Error,DOC-001369,variance,PO-00001,INV-00001,RCPT-00001,PO-00001,GL-00001,INV-00001,VENDOR-008,23341.05,23341.05,23341.05
VAR-000002,TX-1000002,3230-6940-5464,VENDOR-048,PLANT-A,D4,EA,26,27,-1,1,Unknown / Needs Review,2025-10-27,44,DOC-131244,PO-22280,INV-4668136,23202.47,257.85,Evidence is insufficient or conflicting; escalate for human review with targeted next steps.,Collect additional documentation and structured extracts; escalate with what’s missing.,0.23,TRUE,TRUE,Unknown / Needs Review,"DOC-001370,DOC-001371",variance,PO-00002,INV-00002,RCPT-00002,PO-00002,GL-00002,INV-00002,VENDOR-048,23202.47,23202.47,23202.47
VAR-000003,TX-1000003,1600-3719-6109,VENDOR-033,PLANT-A,B2,LB,21,21,0,0,Accrual Reversal,2025-10-08,41,DOC-331148,PO-68878,INV-5667265,400.36,200.18,Pattern indicates accrual reversal timing or reversal posted in a different period than expected.,Validate accrual and reversal periods; adjust if misposted; document period evidence.,0.55,TRUE,FALSE,Accrual Reversal,DOC-001372,variance,PO-00003,INV-00003,RCPT-00003,PO-00003,GL-00003,INV-00003,VENDOR-033,400.36,400.36,400.36
VAR-000004,TX-1000004,2178-5090-6667,VENDOR-056,PLANT-A,B2,LB,17,18,-1,1,Missing Receipt,2025-09-22,39,DOC-456778,PO-46421,INV-3608513,24391.68,389.81,Expected receiving activity not found; variance likely tied to incomplete receipt recording.,Validate receiving documentation; record receipt or correct receiving linkage; document proof.,0.61,FALSE,TRUE,Missing Receipt,"DOC-001373,DOC-001374",variance,PO-00004,INV-00004,RCPT-00004,PO-00004,GL-00004,INV-00004,VENDOR-056,24391.68,24391.68,24391.68
VAR-000005,TX-1000005,6704-5226-4208,VENDOR-049,PLANT-C,A1,EA,17,17,0,0,Timing Difference,2025-11-08,45,DOC-498382,PO-22676,INV-7022674,13997.54,164.87,Pattern indicates a timing difference between feeder and ERP posting dates (in-transit or lagging batch).,Confirm posting lag; re-check after next interface cycle; document timing evidence.,0.63,FALSE,TRUE,Timing Difference,"DOC-001375,DOC-001376",variance,PO-00005,INV-00005,RCPT-00005,PO-00005,GL-00005,INV-00005,VENDOR-049,13997.54,13997.54,13997.54
VAR-000006,TX-1000006,9738-5565-5637,VENDOR-023,PLANT-C,A1,LB,19,20,-1,1,Timing Difference,2025-10-21,43,DOC-662275,PO-26361,INV-7350753,10305.21,19.49,Pattern indicates a timing difference between feeder and ERP posting dates (in-transit or lagging batch).,Confirm posting lag; re-check after next interface cycle; document timing evidence.,0.93,FALSE,FALSE,Timing Difference,"DOC-001377,DOC-001378",variance,PO-00006,INV-00006,RCPT-00006,PO-00006,GL-00006,INV-00006,VENDOR-023,10305.21,10305.21,10305.21
VAR-000007,TX-1000007,7453-3298-2983,VENDOR-036,PLANT-C,C3,BX,27,26,1,1,Manual Entry Error,2025-10-04,40,DOC-838797,PO-19116,INV-1768805,15252.51,327.05,Evidence suggests a manual quantity entry or adjustment was keyed incorrectly (unit/decimal/quantity).,Validate the source entry and submit a corrective adjustment with documented evidence.,0.65,FALSE,FALSE,Manual Entry Error,DOC-001379,variance,PO-00007,INV-00007,RCPT-00007,PO-00007,GL-00007,INV-00007,VENDOR-036,15252.51,15252.51,15252.51
VAR-000008,TX-1000008,9523-9257-9836,VENDOR-015,PLANT-C,A1,BX,20,20,0,0,Stale Master Data,2025-09-20,38,DOC-205907,PO-59823,INV-5663623,23414.93,362.1,Evidence suggests stale or outdated master data driving a mismatch in posting/validation.,Refresh/update master data; document update and effect on downstream posting.,0.64,FALSE,FALSE,Stale Master Data,"DOC-001380,DOC-001381",variance,PO-00008,INV-00008,RCPT-00008,PO-00008,GL-00008,INV-00008,VENDOR-015,23414.93,23414.93,23414.93
VAR-000009,TX-1000009,4853-3033-5974,VENDOR-041,PLANT-C,B2,CS,20,17,3,3,Missing Receipt,2025-10-25,43,DOC-472528,PO-37460,INV-5479144,22729.72,362.39,Expected receiving activity not found; variance likely tied to incomplete receipt recording.,Validate receiving documentation; record receipt or correct receiving linkage; document proof.,0.7,FALSE,FALSE,Missing Receipt,"DOC-001382,DOC-001383",variance,PO-00009,INV-00009,RCPT-00009,PO-00009,GL-00009,INV-00009,VENDOR-041,22729.72,22729.72,22729.72
VAR-000010,TX-1000010,9518-3380-5801,VENDOR-060,PLANT-A,B2,BX,21,20,1,1,Reference Data Misalignment,2025-10-24,43,DOC-271339,PO-70589,INV-7366205,10477.05,127.31,"Signals indicate mismatched master/reference data (codes, mappings, or configuration).",Check code mappings; update reference tables; document mapping changes and approvals.,0.64,FALSE,TRUE,Reference Data Misalignment,"DOC-001384,DOC-001385",variance,PO-00010,INV-00010,RCPT-00010,PO-00010,GL-00010,INV-00010,VENDOR-060,10477.05,10477.05,10477.05
